Date,Open,High,Low,Close,Volume,Adj Close,Symbol
2016-06-24,17.67,18.110001,17.040001,17.34,1767400,17.34,ABY
2016-06-24,9.855,9.855,9.855,9.855,200,9.855,TFSC
2016-06-24,32.00,32.00,31.00,31.57,129300,31.57,SRCE
2016-06-24,4.52,4.68,4.46,4.55,429700,4.55,ACTG
2016-06-24,0.20,0.20,0.20,0.20,000,0.20,SIXD
2016-06-24,13.75,13.96,13.44,13.75,3103900,13.75,EGHT
2016-06-24,43.169998,45.139999,42.759998,44.220001,114100,44.220001,DGLD
2016-06-24,58.689999,59.119999,54.330002,55.419998,4468700,55.419998,ACHC
2016-06-24,10.91,11.23,10.86,11.08,1422800,11.08,VNET
2016-06-24,27.10,28.27,27.00,27.950001,80200,27.950001,DSLV
2016-06-24,11.76,11.97,11.44,11.74,188600,11.74,AVHI
2016-06-24,28.10,29.049999,27.802,28.690001,1678900,28.690001,TWOU
2016-06-24,30.879999,32.900002,30.09,31.43,9480000,31.43,ACAD
2016-06-24,5.52,5.52,5.52,5.52,000,5.52,TFSCU
2016-06-24,8.12,8.38,8.08,8.26,830300,8.26,FLWS
2016-06-24,19.90,20.299999,19.389999,20.049999,97600,20.049999,ANCX
2016-06-24,15.50,15.91,15.14,15.52,838000,15.52,ADMS
2016-06-24,23.99,24.219999,22.559999,22.790001,818900,22.790001,SHLM
2016-06-24,10.69,10.802,10.69,10.802,1400,10.802,VXDN
2016-06-24,5.06,5.09,4.99,5.02,912400,5.02,ARAY
2016-06-24,13.66,13.66,13.15,13.41,1895800,13.41,UGLD
2016-06-24,4.00,4.22,4.00,4.21,19200,4.21,ABIL
2016-06-24,14.27,14.69,14.12,14.56,105900,14.56,CAFD
2016-06-24,1.05,1.12,1.05,1.12,2721600,1.12,AXAS
2016-06-24,17.75,18.059999,17.08,17.469999,137700,17.469999,ADUS
2016-06-24,1.50,1.55,1.35,1.37,4000,1.37,ACST
2016-06-24,6.65,6.65,6.41,6.65,23500,6.65,PIH
2016-06-24,37.50,38.049999,36.82,36.98,22071800,36.98,ATVI
2016-06-24,14.77,15.20,14.46,14.96,463900,14.96,AXDX
2016-06-24,19.16,19.24,18.469999,18.65,2336100,18.65,USLV
2016-06-24,11.20,11.26,11.20,11.26,11200,11.26,FCTY
2016-06-24,33.189999,34.419998,32.669998,33.459999,750900,33.459999,XLRN
2016-06-24,28.889999,29.969999,28.889999,29.299999,39100,29.299999,JOBS
2016-06-24,99.00,103.980003,98.010002,100.370003,4051500,100.370003,ABMD
2016-06-24,21.709999,22.040001,21.450001,21.58,1393800,21.58,ACXM
2016-06-24,11.88,12.77,11.34,12.77,2800,12.77,VXUP
2016-06-24,12.20,12.33,12.20,12.30,1500,12.30,FCCY
2016-06-24,16.950001,17.974001,16.861,17.139999,944600,17.139999,AERI
2016-06-24,24.469999,25.540001,24.26,24.290001,539700,24.290001,ACNB
2016-06-24,2.50,2.55,2.37,2.37,18600,2.37,AMTX
2016-06-24,3.85,3.99,3.71,3.87,224300,3.87,AKAO
2016-06-24,2.60,2.65,2.56,2.57,4013100,2.57,ACRX
2016-06-24,20.35,20.50,19.83,19.91,625200,19.91,ACIW
2016-06-24,2.57,2.67,2.46,2.56,898600,2.56,ABEO
2016-06-24,1.79,1.80,1.77,1.77,15200,1.77,AEY
2016-06-24,17.74,18.98,17.440001,18.10,423900,18.10,ACRS
2016-06-24,10.27,10.73,10.02,10.10,3377600,10.10,ADRO
2016-06-24,25.59,26.85,25.59,26.27,265300,26.27,AAON
2016-06-24,8.98,9.26,8.63,8.87,431400,8.87,ACTA
2016-06-24,6.95,7.03,6.86,6.93,7100,6.93,ADMA
2016-06-24,7.30,7.69,7.11,7.47,742900,7.47,AKBA
2016-06-24,45.119999,46.419998,44.389999,44.75,145400,44.75,ABAX
2016-06-24,3.29,3.39,3.165,3.30,43300,3.30,IOTS
2016-06-24,37.32,37.790001,36.419998,36.779999,748200,36.779999,AEIS
